timestamp_iso,crisis_pressure,crisis_band,escalation_forecast,forecast_band
2026-07-19T04:21:08.973Z,91,extreme,59,elevated
2026-07-19T04:26:04.190Z,91,extreme,59,elevated
2026-07-19T04:31:05.699Z,91,extreme,59,elevated
2026-07-19T04:36:08.893Z,91,extreme,59,elevated
2026-07-19T04:41:04.466Z,91,extreme,59,elevated
2026-07-19T04:46:05.540Z,91,extreme,59,elevated
2026-07-19T04:51:07.925Z,91,extreme,59,elevated
2026-07-19T04:56:15.417Z,91,extreme,59,elevated
2026-07-19T05:01:04.436Z,91,extreme,59,elevated
2026-07-19T05:06:04.007Z,91,extreme,59,elevated
2026-07-19T05:11:04.137Z,91,extreme,59,elevated
2026-07-19T05:16:09.948Z,91,extreme,59,elevated
2026-07-19T05:21:06.581Z,91,extreme,59,elevated
2026-07-19T05:26:04.867Z,91,extreme,59,elevated
2026-07-19T05:31:03.010Z,91,extreme,59,elevated
2026-07-19T05:36:03.773Z,91,extreme,59,elevated
2026-07-19T05:41:06.831Z,91,extreme,59,elevated
2026-07-19T05:46:05.042Z,91,extreme,59,elevated
2026-07-19T05:51:04.406Z,91,extreme,59,elevated
2026-07-19T05:56:09.598Z,91,extreme,59,elevated
2026-07-19T06:01:05.003Z,91,extreme,59,elevated
2026-07-19T06:06:04.782Z,91,extreme,59,elevated
2026-07-19T06:11:03.624Z,91,extreme,59,elevated
2026-07-19T06:16:04.122Z,91,extreme,59,elevated
2026-07-19T06:21:03.444Z,91,extreme,59,elevated
2026-07-19T06:26:03.185Z,91,extreme,59,elevated
2026-07-19T06:31:04.184Z,91,extreme,59,elevated
2026-07-19T06:36:03.064Z,91,extreme,59,elevated
2026-07-19T06:41:03.145Z,91,extreme,59,elevated
2026-07-19T06:46:04.125Z,91,extreme,59,elevated
2026-07-19T06:51:04.225Z,91,extreme,59,elevated
2026-07-19T06:56:04.278Z,91,extreme,59,elevated
2026-07-19T07:01:07.244Z,91,extreme,59,elevated
2026-07-19T07:06:14.448Z,91,extreme,59,elevated
2026-07-19T07:11:05.768Z,91,extreme,59,elevated
2026-07-19T07:16:07.288Z,91,extreme,59,elevated
2026-07-19T07:21:03.891Z,91,extreme,59,elevated
2026-07-19T07:26:04.706Z,91,extreme,59,elevated
2026-07-19T07:31:12.531Z,91,extreme,59,elevated
2026-07-19T07:36:08.698Z,91,extreme,59,elevated
2026-07-19T07:41:09.575Z,91,extreme,59,elevated
2026-07-19T07:46:03.955Z,91,extreme,59,elevated
2026-07-19T07:51:09.083Z,91,extreme,59,elevated
2026-07-19T07:56:05.204Z,91,extreme,59,elevated
2026-07-19T08:01:03.937Z,91,extreme,59,elevated
2026-07-19T08:06:04.525Z,91,extreme,59,elevated
2026-07-19T08:11:04.379Z,91,extreme,59,elevated
2026-07-19T08:16:03.699Z,91,extreme,58,elevated
2026-07-19T08:21:03.661Z,91,extreme,58,elevated
2026-07-19T08:26:03.217Z,91,extreme,58,elevated
2026-07-19T08:31:03.641Z,91,extreme,58,elevated
2026-07-19T08:36:03.693Z,91,extreme,58,elevated
2026-07-19T08:41:03.021Z,91,extreme,58,elevated
2026-07-19T08:46:02.977Z,91,extreme,58,elevated
2026-07-19T08:51:03.549Z,91,extreme,58,elevated
2026-07-19T08:56:03.712Z,91,extreme,58,elevated
2026-07-19T09:01:03.651Z,91,extreme,58,elevated
2026-07-19T09:06:03.147Z,91,extreme,58,elevated
2026-07-19T09:11:03.306Z,91,extreme,58,elevated
2026-07-19T09:16:03.851Z,91,extreme,58,elevated
2026-07-19T09:21:03.145Z,91,extreme,58,elevated
2026-07-19T09:26:03.726Z,91,extreme,58,elevated
2026-07-19T09:31:03.720Z,91,extreme,58,elevated
2026-07-19T09:36:03.058Z,91,extreme,58,elevated
2026-07-19T09:41:04.269Z,91,extreme,58,elevated
2026-07-19T09:46:04.297Z,91,extreme,58,elevated
2026-07-19T09:51:03.874Z,91,extreme,58,elevated
2026-07-19T09:56:04.111Z,91,extreme,58,elevated
2026-07-19T10:01:03.237Z,91,extreme,58,elevated
2026-07-19T10:06:03.027Z,91,extreme,58,elevated
2026-07-19T10:11:03.622Z,91,extreme,58,elevated
2026-07-19T10:16:03.078Z,91,extreme,58,elevated
2026-07-19T10:21:03.014Z,91,extreme,58,elevated
2026-07-19T10:26:02.984Z,91,extreme,58,elevated
2026-07-19T10:31:03.010Z,91,extreme,58,elevated
2026-07-19T10:36:03.025Z,91,extreme,58,elevated
2026-07-19T10:41:03.065Z,91,extreme,58,elevated
2026-07-19T10:46:03.893Z,91,extreme,58,elevated
2026-07-19T10:51:02.977Z,91,extreme,58,elevated
2026-07-19T10:56:03.700Z,91,extreme,58,elevated
2026-07-19T11:01:03.022Z,91,extreme,58,elevated
2026-07-19T11:06:03.595Z,91,extreme,58,elevated
2026-07-19T11:11:03.130Z,91,extreme,58,elevated
2026-07-19T11:16:03.596Z,91,extreme,58,elevated
2026-07-19T11:21:03.709Z,91,extreme,58,elevated
2026-07-19T11:26:02.996Z,91,extreme,58,elevated
2026-07-19T11:31:04.184Z,91,extreme,58,elevated
2026-07-19T11:36:03.861Z,91,extreme,58,elevated
2026-07-19T11:41:03.156Z,91,extreme,58,elevated
2026-07-19T11:46:03.526Z,91,extreme,58,elevated
2026-07-19T11:51:04.157Z,91,extreme,58,elevated
2026-07-19T11:56:03.645Z,91,extreme,58,elevated
2026-07-19T12:01:18.314Z,91,extreme,58,elevated
2026-07-19T12:06:15.024Z,91,extreme,58,elevated
2026-07-19T12:11:05.309Z,91,extreme,58,elevated
2026-07-19T12:16:13.246Z,91,extreme,58,elevated
2026-07-19T12:21:05.784Z,91,extreme,58,elevated
2026-07-19T12:26:05.504Z,91,extreme,57,elevated
2026-07-19T12:31:05.059Z,91,extreme,57,elevated
2026-07-19T12:36:05.094Z,91,extreme,57,elevated
2026-07-19T12:41:10.117Z,91,extreme,57,elevated
2026-07-19T12:46:08.523Z,91,extreme,57,elevated
2026-07-19T12:51:06.136Z,91,extreme,57,elevated
2026-07-19T12:56:07.552Z,91,extreme,57,elevated
2026-07-19T13:01:09.193Z,91,extreme,57,elevated
2026-07-19T13:06:08.636Z,91,extreme,57,elevated
2026-07-19T13:11:05.586Z,91,extreme,57,elevated
2026-07-19T13:16:06.376Z,91,extreme,57,elevated
2026-07-19T13:21:04.925Z,91,extreme,57,elevated
2026-07-19T13:26:14.585Z,91,extreme,57,elevated
2026-07-19T13:31:05.171Z,91,extreme,57,elevated
2026-07-19T13:36:10.798Z,91,extreme,57,elevated
2026-07-19T13:41:06.983Z,91,extreme,57,elevated
2026-07-19T13:46:04.002Z,91,extreme,57,elevated
2026-07-19T13:51:05.063Z,91,extreme,57,elevated
2026-07-19T13:56:08.466Z,91,extreme,57,elevated
2026-07-19T14:01:10.207Z,91,extreme,57,elevated
